车型报价 上牌时间 表显里程 级别_4 级别_5 级别_6 级别_7 级别_8 级别_11 能源类型_1 上市时间 最高车速(km/h) 官方0-100km/h加速(s) 排量(mL) 气缸数(个) 每缸气门数(个)_1 每缸气门数(个)_2 每缸气门数(个)_3 每缸气门数(个)_4 最大马力(Ps) 最大功率(kW) 最大功率转速(rpm) 最大扭矩转速(rpm) 燃油标号_1 燃油标号_2 燃油标号_3 燃油标号_4 挡位个数_3 挡位个数_7
66.68 2022.0 0.57 0 0 0 0 0 0 1 2021.11 218 7.4 1991 4 1 0 0 0 258 190.0 6100.0 2900.0 1 0 0 0 0 0
29.8 2019.0 6.6 0 0 0 0 0 0 0 2019.03 230 8.7 1497 4 1 0 0 0 184 135.0 6100.0 3500.0 1 0 0 0 0 0
261.8 2022.0 1.2 0 0 0 0 0 0 1 2021.08 220 4.5 3982 8 1 0 0 0 585 430.0 6000.0 3000.0 1 0 0 0 0 0
1.58 2012.0 3.4 0 0 0 0 0 0 1 2011.05 176 12.3 1399 4 1 0 0 0 103 76.0 6000.0 4200.0 0 1 0 0 0 0
32.6 2023.0 1.4 1 0 0 0 0 0 1 2022.08 210 8.9 1998 4 1 0 0 0 184 135.0 5750.0 2675.0 1 0 0 0 1 0
39.99 2020.0 7.5 0 0 0 0 0 0 1 2019.12 250 6.4 1991 4 1 0 0 0 258 190.0 6100.0 2900.0 1 0 0 0 0 0
35.98 2022.0 0.55 1 0 0 0 0 0 1 2022.04 235 6.8 1998 4 1 0 0 0 252 185.0 5850.0 3125.0 1 0 0 0 1 0
17.98 2021.0 3.4 1 0 0 0 0 0 1 2020.07 210 7.8 1998 4 1 0 0 0 237 174.0 5000.0 2750.0 1 0 0 0 0 0
123.0 2015.0 5.0 0 1 0 0 0 0 1 2014.04 295 5.2 3993 8 1 0 0 0 507 373.0 6000.0 1750.0 0 0 1 0 1 0
31.8 2017.0 17.0 0 1 0 0 0 0 1 2016.02 250 6.2 2995 6 1 0 0 0 290 213.0 5675.0 3675.0 1 0 0 0 1 0
81.8 2020.0 10.0 0 0 1 0 0 0 0 2019.11 246 6.4 2999 6 1 0 0 0 367 270.0 6400.0 3050.0 1 0 0 0 0 0
8.0 2010.0 11.5 0 0 0 0 0 0 1 2009.11 241 7.8 1796 4 1 0 0 0 204 150.0 5500.0 3150.0 1 0 0 0 0 0
66.8 2021.0 7.6 0 1 0 0 0 0 1 2021.08 250 5.6 2998 6 1 0 0 0 340 250.0 6000.0 3350.0 1 0 0 0 1 0
16.48 2019.0 6.7 0 0 0 1 0 0 1 2019.1 230 8.3 1332 4 1 0 0 0 163 120.0 5500.0 2810.0 1 0 0 0 0 0
14.8 2022.0 2.0 0 0 0 0 1 0 1 2020.11 200 8.7 1395 4 1 0 0 0 150 110.0 5500.0 2375.0 1 0 0 0 0 0
35.98 2018.0 7.0 0 0 0 0 0 0 1 2016.12 205 7.4 1997 4 1 0 0 0 245 180.0 5750.0 3025.0 1 0 0 0 1 0
69.88 2024.0 0.5 0 0 0 0 0 0 0 2022.03 238 6.0 2998 6 1 0 0 0 333 245.0 5875.0 3200.0 1 0 0 0 1 0
22.5 2020.0 4.0 0 0 0 0 0 0 1 2019.11 228 9.1 1998 4 1 0 0 0 156 115.0 5500.0 2625.0 1 0 0 0 1 0
18.0 2020.0 5.6 0 0 0 0 0 0 0 2019.09 236 8.3 1497 4 1 0 0 0 184 135.0 6100.0 3500.0 1 0 0 0 0 0
19.8 2022.0 1.91 1 0 0 0 0 0 0 2021.12 190 6.9 1991 4 1 0 0 0 190 140.0 4750.0 3250.0 0 1 0 0 0 0
45.8 2022.0 1.5 1 0 0 0 0 0 1 2021.12 217 7.5 1997 4 1 0 0 0 250 184.0 5500.0 2900.0 1 0 0 0 1 0
25.77 2022.0 3.0 0 0 0 0 0 0 0 2022.07 180 7.2 1969 4 1 0 0 0 250 184.0 5550.0 3300.0 1 0 0 0 1 0
48.6 2019.0 8.74 0 1 0 0 0 0 0 2019.04 250 6.6 2995 6 1 0 0 0 286 210.0 5450.0 2885.0 1 0 0 0 1 0
23.88 2021.0 5.0 0 0 0 0 0 0 1 2020.09 228 9.1 1998 4 1 0 0 0 156 115.0 5500.0 2625.0 1 0 0 0 1 0
47.5 2015.0 9.4 0 1 0 0 0 0 1 2014.07 262 6.3 2997 6 1 0 0 0 320 235.0 6000.0 3375.0 1 0 0 0 0 0
798.0 2024.0 0.01 0 0 1 0 0 0 1 2020.07 250 5.1 6749 12 1 0 0 0 600 441.0 5000.0 1600.0 1 0 0 0 1 0
34.5 2022.0 2.8 0 0 0 0 0 0 0 2021.09 195 9.8 1998 4 1 0 0 0 237 174.0 5000.0 2750.0 1 0 0 0 0 0
72.98 2020.0 7.4 0 1 0 0 0 0 0 2020.05 250 6.6 2999 6 1 0 0 0 299 220.0 5800.0 2900.0 1 0 0 0 0 0
14.8 2017.0 4.8 0 0 0 0 0 0 1 2016.09 235 7.9 1998 4 1 0 0 0 184 135.0 5750.0 2975.0 1 0 0 0 1 0
15.9 2017.0 8.45 1 0 0 0 0 0 1 2016.01 210 8.2 1997 4 1 0 0 0 184 135.0 5625.0 2875.0 1 0 0 0 1 0
