车型报价 上牌时间 表显里程 热度指数 关注指数 咨询指数 搜索指数 级别 能源类型 上市时间 最高车速(km/h) 官方0-100km/h加速(s) 排量(mL) 气缸数(个) 每缸气门数(个) 最大马力(Ps) 最大功率(kW) 最大功率转速(rpm) 最大扭矩转速(rpm) 燃油标号 挡位个数
66.68 2022.0 0.57 9.23 9.18 9.13 9.18 4 2 2021.11 218 7.4 1991 4 2 258 190.0 6100.0 2900.0 2 9
29.8 2019.0 6.6 9.74 9.83 9.87 9.82 5 3 2019.03 230 8.7 1497 4 2 184 135.0 6100.0 3500.0 2 9
261.8 2022.0 1.2 9.11 9.11 9.06 9.09 4 2 2021.08 220 4.5 3982 8 2 585 430.0 6000.0 3000.0 2 9
1.58 2012.0 3.4 8.01 8.01 8.01 8.01 9 2 2011.05 176 12.3 1399 4 2 103 76.0 6000.0 4200.0 1 5
32.6 2023.0 1.4 9.27 9.26 9.21 9.24 1 2 2022.08 210 8.9 1998 4 2 184 135.0 5750.0 2675.0 2 8
39.99 2020.0 7.5 9.18 9.09 9.08 9.11 5 2 2019.12 250 6.4 1991 4 2 258 190.0 6100.0 2900.0 2 9
35.98 2022.0 0.55 9.27 9.26 9.21 9.24 1 2 2022.04 235 6.8 1998 4 2 252 185.0 5850.0 3125.0 2 8
17.98 2021.0 3.4 9.15 9.14 9.1 9.13 1 2 2020.07 210 7.8 1998 4 2 237 174.0 5000.0 2750.0 2 9
123.0 2015.0 5.0 9.12 9.07 9.07 9.09 7 2 2014.04 295 5.2 3993 8 2 507 373.0 6000.0 1750.0 3 8
31.8 2017.0 17.0 9.32 9.24 9.22 9.26 7 2 2016.02 250 6.2 2995 6 2 290 213.0 5675.0 3675.0 2 8
81.8 2020.0 10.0 9.16 9.12 9.09 9.12 6 3 2019.11 246 6.4 2999 6 2 367 270.0 6400.0 3050.0 2 9
8.0 2010.0 11.5 9.13 9.15 9.09 9.12 5 2 2009.11 241 7.8 1796 4 2 204 150.0 5500.0 3150.0 2 5
66.8 2021.0 7.6 9.39 9.35 9.3 9.34 7 2 2021.08 250 5.6 2998 6 2 340 250.0 6000.0 3350.0 2 8
16.48 2019.0 6.7 9.14 9.18 9.22 9.18 13 2 2019.1 230 8.3 1332 4 2 163 120.0 5500.0 2810.0 2 7
14.8 2022.0 2.0 9.06 9.08 9.06 9.07 8 2 2020.11 200 8.7 1395 4 2 150 110.0 5500.0 2375.0 2 7
35.98 2018.0 7.0 9.16 9.12 9.08 9.12 4 2 2016.12 205 7.4 1997 4 2 245 180.0 5750.0 3025.0 2 8
69.88 2024.0 0.5 9.3 9.07 9.1 9.15 4 3 2022.03 238 6.0 2998 6 2 333 245.0 5875.0 3200.0 2 8
22.5 2020.0 4.0 9.77 9.93 9.85 9.85 2 2 2019.11 228 9.1 1998 4 2 156 115.0 5500.0 2625.0 2 8
18.0 2020.0 5.6 9.62 9.83 9.77 9.74 2 3 2019.09 236 8.3 1497 4 2 184 135.0 6100.0 3500.0 2 9
19.8 2022.0 1.91 9.08 9.07 9.06 9.07 1 5 2021.12 190 6.9 1991 4 2 190 140.0 4750.0 3250.0 1 0
45.8 2022.0 1.5 9.14 9.06 9.08 9.09 1 2 2021.12 217 7.5 1997 4 2 250 184.0 5500.0 2900.0 2 8
25.77 2022.0 3.0 9.21 9.12 9.13 9.15 5 3 2022.07 180 7.2 1969 4 2 250 184.0 5550.0 3300.0 2 8
48.6 2019.0 8.74 9.32 9.24 9.22 9.26 7 3 2019.04 250 6.6 2995 6 2 286 210.0 5450.0 2885.0 2 8
23.88 2021.0 5.0 9.77 9.93 9.85 9.85 2 2 2020.09 228 9.1 1998 4 2 156 115.0 5500.0 2625.0 2 8
47.5 2015.0 9.4 9.38 9.36 9.28 9.33 7 2 2014.07 262 6.3 2997 6 2 320 235.0 6000.0 3375.0 2 7
798.0 2024.0 0.01 9.07 9.05 9.05 9.06 6 2 2020.07 250 5.1 6749 12 2 600 441.0 5000.0 1600.0 2 8
34.5 2022.0 2.8 9.43 9.53 9.51 9.49 3 3 2021.09 195 9.8 1998 4 2 237 174.0 5000.0 2750.0 2 9
72.98 2020.0 7.4 9.53 9.47 9.51 9.5 7 3 2020.05 250 6.6 2999 6 2 299 220.0 5800.0 2900.0 2 9
14.8 2017.0 4.8 9.77 9.93 9.85 9.85 2 2 2016.09 235 7.9 1998 4 2 184 135.0 5750.0 2975.0 2 8
15.9 2017.0 8.45 9.05 9.06 9.03 9.05 1 2 2016.01 210 8.2 1997 4 2 184 135.0 5625.0 2875.0 2 8
35.9 2022.0 0.6 9.27 9.26 9.21 9.24 1 2 2022.08 235 6.8 1998 4 2 252 185.0 5850.0 3125.0 2 8
13.9 2023.0 2.2 9.1 9.16 9.13 9.13 13 2 2022.05 212 9.4 1499 3 2 140 103.0 5550.0 2840.0 2 7
17.9 2022.0 1.0 9.04 9.05 9.03 9.04 12 2 2021.07 227 7.7 1998 4 2 192 141.0 5500.0 2975.0 2 7
78.9 2018.0 3.9 9.03 8.01 9.01 8.72 14 5 2018.01 250 5.0 3456 6 2 299 220.0 6600.0 5100.0 2 1
5.89 2021.0 2.46 8.0 8.01 8.01 8.01 13 0 2021.05 200 7.2 1490 4 2 169 124.0 5500.0 3000.0 1 1
8.3 2017.0 9.1 9.23 9.22 9.18 9.21 13 2 2017.1 210 9.2 1395 4 2 150 110.0 5500.0 2375.0 2 7
85.0 2022.0 0.3 9.1 9.04 9.02 9.05 2 2 2021.04 250 3.9 2993 6 2 510 375.0 6250.0 4125.0 2 8
39.9 2014.0 10.5 9.38 9.36 9.28 9.33 7 2 2014.11 262 6.1 2997 6 2 320 235.0 6000.0 3375.0 2 7
21.5 2018.0 6.1 9.09 9.05 9.05 9.06 5 2 2017.06 226 8.2 1798 4 2 190 140.0 5200.0 2750.0 2 7
9.0 2016.0 14.2 9.13 9.08 9.07 9.09 2 2 2015.06 230 6.4 1969 4 2 245 180.0 5500.0 3150.0 2 8
25.8 2021.0 4.7 9.62 9.83 9.77 9.74 2 3 2020.09 236 8.5 1497 4 2 184 135.0 6100.0 3500.0 2 9
17.0 2017.0 8.3 9.19 9.2 9.14 9.17 1 2 2016.09 230 7.2 1984 4 2 230 169.0 5150.0 2850.0 2 8
24.33 2021.0 1.7 9.03 9.03 9.02 9.03 4 2 2021.09 230 7.8 2951 6 2 337 248.0 5500.0 4000.0 2 8
34.6 2019.0 4.2 9.74 9.83 9.87 9.82 5 2 2019.03 250 6.6 1991 4 2 258 190.0 6100.0 2900.0 2 9
95.8 2021.0 3.4 9.38 9.36 9.28 9.33 7 2 2020.08 270 5.6 2894 6 2 330 243.0 5900.0 3400.0 2 8
22.2 2018.0 5.9 9.81 10.0 9.85 9.88 5 2 2016.07 237 7.6 1997 4 2 218 160.0 5500.0 3075.0 2 8
16.66 2018.0 3.6 9.07 9.09 9.04 9.06 1 2 2017.08 200 8.1 1997 4 2 241 177.0 5500.0 2875.0 2 9
10.89 2018.0 7.3 9.23 9.31 9.31 9.29 13 2 2017.1 215 8.4 1395 4 2 150 110.0 5500.0 2375.0 2 7
16.0 2016.0 12.2 9.81 10.0 9.85 9.88 5 2 2013.09 225 8.6 1997 4 2 184 135.0 5000.0 2875.0 2 8
17.0 2016.0 4.5 9.04 9.01 9.01 9.02 2 2 2014.04 250 5.3 3696 6 2 351 258.0 7000.0 5200.0 2 7
13.9 2014.0 15.7 9.62 9.83 9.77 9.74 2 2 2014.08 226 7.8 1991 4 2 184 135.0 5500.0 2600.0 2 7
18.33 2017.0 7.9 9.62 9.83 9.77 9.74 2 2 2017.03 236 7.9 1991 4 2 184 135.0 5500.0 2600.0 2 9
18.5 2018.0 5.2 9.77 9.93 9.85 9.85 2 2 2017.09 235 7.9 1998 4 2 184 135.0 5750.0 2975.0 2 8
13.68 2021.0 7.0 9.1 9.16 9.13 9.13 13 2 2020.1 235 7.5 1998 4 2 192 141.0 5500.0 2975.0 2 7
59.8 2022.0 1.2 9.24 9.32 9.27 9.28 1 2 2021.08 259 4.8 2894 6 2 380 280.0 5950.0 3425.0 2 7
36.8 2019.0 2.3 9.74 9.83 9.87 9.82 5 2 2018.09 250 6.9 1991 4 2 245 180.0 5500.0 2650.0 2 9
102.8 2023.0 1.0 9.35 9.39 9.28 9.33 4 2 2022.04 245 6.2 2995 6 2 340 250.0 5850.0 3320.0 2 8
11.98 2023.0 1.7 8.02 9.02 9.01 8.72 8 2 2022.08 185 10.3 1987 4 2 171 126.0 6600.0 4600.0 1 1
38.8 2020.0 1.45 9.14 9.09 9.07 9.1 4 2 2019.09 200 9.5 1998 4 2 231 170.0 5400.0 2900.0 2 6
4.8 2020.0 4.0 8.02 9.01 9.01 8.71 8 2 2020.11 190 8.8 1395 4 2 150 110.0 5000.0 2375.0 2 7
12.58 2022.0 0.44 8.0 8.0 8.0 8.0 12 2 2022.09 205 7.9 1498 4 2 184 135.0 5500.0 3250.0 1 0
22.98 2023.0 0.4 9.04 8.01 8.01 8.32 4 3 2020.04 210 8.9 1998 4 2 237 174.0 5000.0 2750.0 2 9
12.58 2022.0 0.25 9.21 9.26 9.2 9.22 2 2 2022.01 205 9.1 1490 4 2 169 124.0 5600.0 3050.0 1 9
20.68 2021.0 9.6 9.43 9.53 9.51 9.49 3 2 2020.09 195 9.5 1998 4 2 237 174.0 5000.0 2750.0 2 9
113.8 2020.0 8.6 9.43 9.37 9.32 9.37 4 3 2019.12 225 6.5 2996 6 2 400 294.0 6000.0 3500.0 2 8
10.3 2020.0 3.0 9.34 9.28 9.28 9.3 13 2 2019.05 200 8.5 1498 4 2 177 130.0 6000.0 3600.0 1 0
38.3 2022.0 3.7 9.32 9.39 9.3 9.33 1 2 2021.1 235 6.9 1991 4 2 258 190.0 6100.0 2900.0 2 9
58.8 2021.0 6.3 8.01 9.01 8.01 8.31 4 0 2021.04 210 7.4 1991 4 2 211 155.0 5500.0 2800.0 2 9
31.5 2018.0 10.9 9.74 9.83 9.87 9.82 5 2 2018.03 250 6.9 1991 4 2 245 180.0 5500.0 2650.0 2 9
15.58 2022.0 0.91 9.04 9.06 9.03 9.04 13 2 2021.11 212 9.3 1332 4 2 136 100.0 5500.5 2730.0 2 7
17.5 2021.0 2.7 9.14 9.18 9.22 9.18 13 2 2021.01 230 8.3 1332 4 2 163 120.0 5500.0 2810.0 2 7
16.5 2019.0 4.5 9.09 9.18 9.14 9.14 12 2 2019.03 220 7.6 1991 4 2 184 135.0 5500.0 2600.0 2 7
23.9 2018.0 5.53 10.0 9.72 10.0 9.92 5 2 2017.08 245 7.5 1984 4 2 224 165.0 5350.0 3000.0 2 7
71.98 2024.0 0.6 9.3 9.07 9.1 9.15 4 3 2022.03 238 6.0 2998 6 2 333 245.0 5875.0 3200.0 2 8
18.18 2021.0 0.6 9.21 9.3 9.27 9.26 12 2 2021.05 195 10.5 1499 3 2 140 103.0 5550.0 2850.0 2 7
33.8 2022.0 5.5 9.27 9.26 9.21 9.24 1 2 2021.08 235 6.8 1998 4 2 252 185.0 5850.0 3125.0 2 8
25.8 2021.0 5.2 9.77 9.93 9.85 9.85 2 2 2021.02 235 8.1 1998 4 2 184 135.0 5750.0 2675.0 2 8
36.8 2014.0 10.0 9.35 9.39 9.28 9.33 4 2 2010.06 258 5.9 4806 8 2 400 294.0 6500.0 3500.0 2 8
49.0 2011.0 1.9 9.1 9.04 9.02 9.05 2 2 2008.1 250 5.1 3999 8 2 420 309.0 8300.0 3900.0 2 7
49.8 2011.0 4.3 9.38 9.36 9.28 9.33 7 2 2010.06 303 4.2 4806 8 2 500 368.0 6000.0 3375.0 2 7
153.0 2015.0 0.6 9.23 9.19 9.15 9.19 14 2 2014.02 315 3.5 3800 6 2 521 383.0 6250.0 3475.0 2 7
87.0 2015.0 5.0 9.43 9.37 9.32 9.37 4 2 2015.01 210 7.8 2995 6 2 340 250.0 6500.0 4250.0 2 8
89.8 2017.0 1.5 9.11 9.07 9.04 9.07 14 2 2015.05 310 3.8 3982 8 2 510 375.0 6250.0 3250.0 2 7
88.8 2023.0 0.04 9.23 9.18 9.13 9.18 4 3 2022.11 250 5.9 2498 6 2 367 270.0 6000.0 3000.0 2 9
239.0 2023.0 0.15 9.19 9.22 9.16 9.19 14 2 2021.11 315 3.4 3996 6 2 500 368.0 8400.0 6750.0 2 7
559.0 2021.0 0.8 9.06 9.02 9.02 9.03 14 2 2017.05 350 2.9 6498 12 2 740 544.0 8400.0 5500.0 3 7
186.8 2023.0 0.01 9.04 9.01 8.01 8.62 4 3 2022.02 259 5.4 2999 6 2 435 320.0 6000.0 3650.0 2 9
169.0 2020.0 0.4 9.11 9.07 9.04 9.07 14 2 2019.09 318 3.6 3982 8 2 585 430.0 6250.0 3700.0 2 7
279.0 2021.0 0.9 9.08 9.05 9.03 9.05 4 2 2020.07 290 4.5 3996 8 2 550 404.0 6000.0 3250.0 2 8
159.0 2013.0 5.6 9.04 9.01 9.02 9.02 7 2 2010.09 296 5.3 6753 8 0 513 377.0 4200.0 1750.0 2 8
36.68 2022.0 0.81 9.32 9.39 9.3 9.33 1 2 2021.11 213 8.4 1991 4 2 197 145.0 6100.0 2825.0 2 9
31.39 2023.0 0.01 9.43 9.53 9.51 9.49 3 3 2022.08 195 9.8 1998 4 2 237 174.0 5000.0 2750.0 2 9
57.58 2023.0 0.41 9.24 9.32 9.27 9.28 1 2 2022.04 232 6.4 1984 4 2 265 195.0 5750.0 3150.0 2 7
33.98 2019.0 6.34 9.18 9.08 9.07 9.11 4 2 2019.09 210 7.9 1969 4 2 254 187.0 5500.0 3150.0 2 8
5.28 2015.0 9.9 9.11 9.1 9.09 9.1 1 0 2015.06 180 4.9 1999 4 2 205 151.0 5500.0 3125.0 1 6
151.8 2023.0 1.7 9.19 9.12 9.13 9.15 7 3 2022.1 250 5.8 2999 6 2 367 270.0 6100.0 3050.0 2 9
486.0 2021.0 1.0 9.08 9.06 9.06 9.07 7 2 2020.1 250 4.8 6749 12 2 571 420.0 5000.0 1600.0 2 8
78.8 2010.0 8.9 8.01 8.0 8.0 8.0 14 2 2008.1 250 4.6 5513 12 1 517 380.0 5000.0 2700.0 2 5
196.0 2022.0 0.4 9.07 9.02 9.02 9.04 14 2 2021.05 331 3.1 5204 10 2 620 456.0 8250.0 6500.0 2 7
229.0 2020.0 0.4 9.23 9.19 9.15 9.19 14 2 2020.03 330 2.7 3745 6 2 650 478.0 6750.0 3250.0 2 8
26.68 2014.0 6.8 9.06 9.04 9.03 9.04 14 2 2012.01 262 5.7 2706 6 2 265 195.0 6700.0 5500.0 2 7
