车型名称 车型报价 上牌时间 表显里程 所在地 厂商 级别 能源类型 上市时间 最高车速(km/h) 官方0-100km/h加速(s) 排量(mL) 气缸数(个) 最大马力(Ps) 最大功率(kW) 最大功率转速(rpm) 最大扭矩转速(rpm) 燃油标号 挡位个数
723 66.68 2022.0 0.57 71 37 4 2 2021.0 218 7.4 1991 4 258 190.0 6100.0 2900.0 2 8
571 29.8 2019.0 6.6 66 30 5 3 2019.0 230 8.7 1497 4 184 135.0 6100.0 3500.0 2 8
795 261.8 2022.0 1.2 15 49 4 2 2021.0 220 4.5 3982 8 585 430.0 6000.0 3000.0 2 8
1850 1.58 2012.0 3.4 36 15 9 2 2011.0 176 12.3 1399 4 103 76.0 6000.0 4200.0 1 4
1447 32.6 2023.0 1.4 37 32 1 2 2022.0 210 8.9 1998 4 184 135.0 5750.0 2675.0 2 7
491 39.99 2020.0 7.5 60 37 5 2 2019.0 250 6.4 1991 4 258 190.0 6100.0 2900.0 2 8
1449 35.98 2022.0 0.55 74 32 1 2 2022.0 235 6.8 1998 4 252 185.0 5850.0 3125.0 2 7
1709 17.98 2021.0 3.4 40 14 1 2 2020.0 210 7.8 1998 4 237 174.0 5000.0 2750.0 2 8
2121 123.0 2015.0 5.0 20 41 7 2 2014.0 295 5.2 3993 8 507 373.0 6000.0 1750.0 3 7
972 31.8 2017.0 17.0 20 38 7 2 2016.0 250 6.2 2995 6 290 213.0 5675.0 3675.0 2 7
763 81.8 2020.0 10.0 20 37 6 3 2019.0 246 6.4 2999 6 367 270.0 6400.0 3050.0 2 8
621 8.0 2010.0 11.5 8 37 5 2 2009.0 241 7.8 1796 4 204 150.0 5500.0 3150.0 2 4
1373 66.8 2021.0 7.6 11 39 7 2 2021.0 250 5.6 2998 6 340 250.0 6000.0 3350.0 2 7
440 16.48 2019.0 6.7 56 30 13 2 2019.0 230 8.3 1332 4 163 120.0 5500.0 2810.0 2 6
996 14.8 2022.0 2.0 54 8 8 2 2020.0 200 8.7 1395 4 150 110.0 5500.0 2375.0 2 6
1515 35.98 2018.0 7.0 20 39 4 2 2016.0 205 7.4 1997 4 245 180.0 5750.0 3025.0 2 7
1471 69.88 2023.0 0.5 37 32 4 3 2022.0 238 6.0 2998 6 333 245.0 5875.0 3200.0 2 7
1195 22.5 2020.0 4.0 8 32 2 2 2019.0 228 9.1 1998 4 156 115.0 5500.0 2625.0 2 7
518 18.0 2020.0 5.6 8 30 2 3 2019.0 236 8.3 1497 4 184 135.0 6100.0 3500.0 2 8
214 19.8 2022.0 1.91 15 44 1 5 2021.0 190 6.9 1991 4 190 140.0 4750.0 3250.0 1 9
1659 45.8 2022.0 1.5 0 59 1 2 2021.0 217 7.5 1997 4 250 184.0 5500.0 2900.0 2 7
1794 25.77 2022.0 3.0 0 54 5 3 2022.0 180 7.2 1969 4 250 184.0 5550.0 3300.0 2 7
976 48.6 2019.0 8.74 68 38 7 3 2019.0 250 6.6 2995 6 286 210.0 5450.0 2885.0 2 7
1205 23.88 2021.0 5.0 20 32 2 2 2020.0 228 9.1 1998 4 156 115.0 5500.0 2625.0 2 7
136 47.5 2015.0 9.4 8 24 7 2 2014.0 262 6.3 2997 6 320 235.0 6000.0 3375.0 2 6
1558 798.0 2023.0 0.01 0 29 6 2 2020.0 250 5.1 6749 12 600 441.0 5000.0 1600.0 2 7
346 34.5 2022.0 2.8 3 14 3 3 2021.0 195 9.8 1998 4 237 174.0 5000.0 2750.0 2 8
830 72.98 2020.0 7.4 56 37 7 3 2020.0 250 6.6 2999 6 299 220.0 5800.0 2900.0 2 8
1182 14.8 2017.0 4.8 73 32 2 2 2016.0 235 7.9 1998 4 184 135.0 5750.0 2975.0 2 7
1455 15.9 2017.0 8.45 11 39 1 2 2016.0 210 8.2 1997 4 184 135.0 5625.0 2875.0 2 7
1450 35.9 2022.0 0.6 11 32 1 2 2022.0 235 6.8 1998 4 252 185.0 5850.0 3125.0 2 7
1146 13.9 2023.0 2.2 11 32 13 2 2022.0 212 9.4 1499 3 140 103.0 5550.0 2840.0 2 6
1423 17.9 2022.0 1.0 11 32 12 2 2021.0 227 7.7 1998 4 192 141.0 5500.0 2975.0 2 6
2082 78.9 2018.0 3.9 27 68 14 5 2018.0 250 5.0 3456 6 299 220.0 6600.0 5100.0 2 0
1909 5.89 2021.0 2.46 0 16 13 0 2021.0 200 7.2 1490 4 169 124.0 5500.0 3000.0 1 0
2041 8.3 2017.0 9.1 8 5 13 2 2017.0 210 9.2 1395 4 150 110.0 5500.0 2375.0 2 6
1385 85.0 2022.0 0.3 37 40 2 2 2021.0 250 3.9 2993 6 510 375.0 6250.0 4125.0 2 7
133 39.9 2014.0 10.5 8 24 7 2 2014.0 262 6.1 2997 6 320 235.0 6000.0 3375.0 2 6
908 21.5 2018.0 6.1 8 38 5 2 2017.0 226 8.2 1798 4 190 140.0 5200.0 2750.0 2 6
1777 9.0 2016.0 14.2 8 54 2 2 2015.0 230 6.4 1969 4 245 180.0 5500.0 3150.0 2 7
525 25.8 2021.0 4.7 8 30 2 3 2020.0 236 8.5 1497 4 184 135.0 6100.0 3500.0 2 8
1038 17.0 2017.0 8.3 8 8 1 2 2016.0 230 7.2 1984 4 230 169.0 5150.0 2850.0 2 7
1891 24.33 2021.0 1.7 8 9 4 2 2021.0 230 7.8 2951 6 337 248.0 5500.0 4000.0 2 7
575 34.6 2019.0 4.2 8 30 5 2 2019.0 250 6.6 1991 4 258 190.0 6100.0 2900.0 2 8
148 95.8 2021.0 3.4 11 24 7 2 2020.0 270 5.6 2894 6 330 243.0 5900.0 3400.0 2 7
1264 22.2 2018.0 5.9 8 32 5 2 2016.0 237 7.6 1997 4 218 160.0 5500.0 3075.0 2 7
387 16.66 2018.0 3.6 8 35 1 2 2017.0 200 8.1 1997 4 241 177.0 5500.0 2875.0 2 8
850 10.89 2018.0 7.3 8 8 13 2 2017.0 215 8.4 1395 4 150 110.0 5500.0 2375.0 2 6
1260 16.0 2016.0 12.2 8 32 5 2 2013.0 225 8.6 1997 4 184 135.0 5000.0 2875.0 2 7
1900 17.0 2016.0 4.5 8 57 2 2 2014.0 250 5.3 3696 6 351 258.0 7000.0 5200.0 2 6
497 13.9 2014.0 15.7 8 30 2 2 2014.0 226 7.8 1991 4 184 135.0 5500.0 2600.0 2 6
503 18.33 2017.0 7.9 8 30 2 2 2017.0 236 7.9 1991 4 184 135.0 5500.0 2600.0 2 8
1185 18.5 2018.0 5.2 8 32 2 2 2017.0 235 7.9 1998 4 184 135.0 5750.0 2975.0 2 7
1143 13.68 2021.0 7.0 9 32 13 2 2020.0 235 7.5 1998 4 192 141.0 5500.0 2975.0 2 6
126 59.8 2022.0 1.2 63 24 1 2 2021.0 259 4.8 2894 6 380 280.0 5950.0 3425.0 2 6
572 36.8 2019.0 2.3 42 30 5 2 2018.0 250 6.9 1991 4 245 180.0 5500.0 2650.0 2 8
29 102.8 2023.0 1.0 42 24 4 2 2022.0 245 6.2 2995 6 340 250.0 5850.0 3320.0 2 7
845 11.98 2023.0 1.7 69 7 8 2 2022.0 185 10.3 1987 4 171 126.0 6600.0 4600.0 1 0
2099 38.8 2020.0 1.45 42 68 4 2 2019.0 200 9.5 1998 4 231 170.0 5400.0 2900.0 2 5
2010 4.8 2020.0 4.0 0 10 8 2 2020.0 190 8.8 1395 4 150 110.0 5000.0 2375.0 2 6
